Report_Date,Region,Facility_ID,Parent_Facility_ID,Product_Program,Management_Status,Facility_Type,Committed/Uncommitted,Risk_Category,Relationship_ID,Relationship_Name,CAID,Lead_Underwriter,Underwriting_Team_Lead,Control_Unit,Fac_Amount,Total_Reported_Fac_Amount,Direct_OS,Contingent_OS,PSE_OS,Unused_Committed,Total_Comm_Exposure,Maturity_Date,Prodict_Underwriter,CA_Expiration_Date
2024-01-16,NAM,FAC014,PFAC013,Auto Finance,Active,Floor Plan,Committed,Medium,REL014,Automotive Dealers Group,CAID014,Steven Clark,Amanda Lewis,CU-014,5500000,5500000,4000000,700000,0,800000,5500000,2025-12-15,Steven Clark,2025-06-15
2024-01-16,EMEA,FAC015,PFAC014,Energy Finance,Active,Term Loan,Committed,Low,REL015,Green Energy Solutions,CAID015,Andrew Young,Sophia Allen,CU-015,12000000,12000000,9000000,1800000,0,1200000,12000000,2026-11-30,Andrew Young,2026-08-31
2024-01-17,NAM,FAC016,PFAC015,Healthcare Finance,Active,Equipment Lease,Committed,Low,REL016,Medical Systems Inc.,CAID016,Timothy Hall,Emma Scott,CU-016,3800000,3800000,2700000,450000,0,650000,3800000,2025-09-15,Timothy Hall,2025-04-15
2024-01-17,APAC,FAC017,PFAC016,Marine Finance,Active,Ship Mortgage,Committed,Medium,REL017,Pacific Shipping Lines,CAID017,Benjamin Li,Grace Chen,CU-017,15000000,15000000,11000000,2000000,0,2000000,15000000,2027-06-30,Benjamin Li,2027-03-31
2024-01-17,EMEA,FAC018,PFAC017,Aviation Finance,Active,Aircraft Lease,Committed,High,REL018,Euro Aviation Holdings,CAID018,Alexander King,Victoria Green,CU-018,25000000,25000000,18000000,3500000,0,3500000,25000000,2028-12-31,Alexander King,2028-06-30
2024-01-17,LATAM,FAC019,PFAC018,Agriculture Finance,Active,Seasonal Credit,Committed,Medium,REL019,Agricultural Producers Co-op,CAID019,Ricardo Silva,Carmen Diaz,CU-019,1800000,1800000,1300000,200000,0,300000,1800000,2025-11-30,Ricardo Silva,2025-08-31
2024-01-17,NAM,FAC020,PFAC019,Technology Finance,Active,Venture Debt,Committed,High,REL020,Tech Innovators LLC,CAID020,Matthew Wright,Olivia Baker,CU-020,8500000,8500000,6000000,1200000,0,1300000,8500000,2026-03-31,Matthew Wright,2025-12-31
2024-01-18,NAM,FAC021,PFAC020,Retail Finance,Active,Inventory Financing,Committed,Medium,REL021,National Retail Chain,CAID021,Joseph Hill,Isabella Adams,CU-021,4200000,4200000,3000000,500000,0,700000,4200000,2025-08-15,Joseph Hill,2025-04-01
2024-01-18,EMEA,FAC022,PFAC021,Hospitality Finance,Active,Hotel Mortgage,Committed,Low,REL022,European Hotels Group,CAID022,Edward Turner,Charlotte Campbell,CU-022,6800000,6800000,5000000,900000,0,900000,6800000,2026-10-31,Edward Turner,2026-05-31
2024-01-18,APAC,FAC023,PFAC022,Telecommunications,Active,Network Finance,Committed,Medium,REL023,Asia Telecom Networks,CAID023,Jonathan Park,Hannah Kim,CU-023,11000000,11000000,8500000,1500000,0,1000000,11000000,2027-01-31,Jonathan Park,2026-09-30
2024-01-18,NAM,FAC024,PFAC023,Construction Finance,Active,Construction Loan,Committed,High,REL024,Builders United Corp,CAID024,Nicholas Phillips,Mia Robinson,CU-024,7200000,7200000,5500000,900000,0,800000,7200000,2025-10-15,Nicholas Phillips,2025-05-01
2024-01-18,LATAM,FAC025,PFAC024,Mining Finance,Active,Project Finance,Committed,Medium,REL025,South American Mining Co.,CAID025,Gabriel Fernandez,Sofia Morales,CU-025,13500000,13500000,10000000,2000000,0,1500000,13500000,2027-09-30,Gabriel Fernandez,2027-05-31

